答案1：  51
答案2536：  -2147/7802
答案2537：  86/7921
答案2538：  931/93
答案2539：  -90/949
答案2540：  -5
答案2541：  -53
答案2542：  1181/2912
答案2543：  4679/90
答案2544：  69
答案2545：  1152/1121
答案2546：  96
答案2547：  13/3
答案2548：  -5865/88
答案2549：  1343/80
答案2550：  189/11
答案2551：  159/602
答案2552：  -1667/5824
答案2553：  -295/4
答案2554：  2852/49
答案2555：  -8145/91
答案2556：  2623/77
答案2557：  9111/95
答案2558：  1
答案2559：  5814/77
答案2560：  1095/3478
答案2561：  7
答案2562：  -62
答案2563：  22/65
答案2564：  61/2
答案2565：  1/51
答案2566：  736/65
答案2567：  14
答案2568：  161/1170
答案2569：  3739/100
答案2570：  4/25
答案2571：  2/75
答案2572：  4644/91
答案2573：  2363/46
答案2574：  1
答案2575：  4071
答案2576：  3739/50
答案2577：  46/147
答案2578：  1
答案2579：  71/6
答案2580：  3/34
答案2581：  888/1067
答案2582：  183
答案2583：  9
答案2584：  645/8
答案2585：  81/98
答案2586：  6204
答案2587：  11/8
答案2588：  369/19
答案2589：  21/47
答案2590：  -86
答案2591：  80/3
答案2592：  8821/97
答案2593：  93
答案2594：  744
答案2595：  4115/96
答案2596：  559/19
答案2597：  784/17
答案2598：  77/27
答案2599：  2536/33
答案2600：  6968/101
答案2601：  5
答案2602：  -3608/101
答案2603：  2288/53
答案2604：  19
答案2605：  3357/1900
答案2606：  105
答案2607：  26/47
答案2608：  4459/95
答案2609：  11/252
答案2610：  6/11
答案2611：  40/11
答案2612：  7470
答案2613：  -336/5
答案2614：  1444/2047
答案2615：  131/405
答案2616：  2656
答案2617：  56
答案2618：  3
答案2619：  961/34
答案2620：  1
答案2621：  -398/3135
答案2622：  6072
答案2623：  1
答案2624：  -6596/75
答案2625：  41/1104
答案2626：  280/101
答案2627：  172/51
答案2628：  32/31
答案2629：  8736/97
答案2630：  7422/91
答案2631：  7
答案2632：  1919/1564
答案2633：  -938/97
答案2634：  4
答案2635：  -1023/68
答案2636：  2/5
答案2637：  -68
答案2638：  -85/372
答案2639：  5291/58
答案2640：  880/39
答案2641：  9150/6499
答案2642：  2638/29
答案2643：  6642/91
答案2644：  8811
答案2645：  4996/53
答案2646：  41
答案2647：  -10
答案2648：  3/35
答案2649：  -395/816
答案2650：  -125/11
答案2651：  160
答案2652：  -1901/7221
答案2653：  2632/65
答案2654：  49
答案2655：  437/620
答案2656：  3
答案2657：  1944/85
答案2658：  147/209
答案2659：  1278/25
答案2660：  2400/49
答案2661：  297/10
答案2662：  4816/89
答案2663：  7470/91
答案2664：  2044/2755
答案2665：  12627/7300
答案2666：  90/31
答案2667：  1054/3939
答案2668：  48
答案2669：  1/36
答案2670：  6392/99
答案2671：  2847/4268
答案2672：  0
答案2673：  5083/81
答案2674：  2177/97
答案2675：  101/95
答案2676：  305/101
答案2677：  1573/23
答案2678：  3320/41
答案2679：  124
答案2680：  1
答案2681：  2880/41
答案2682：  27/31
答案2683：  144/55
答案2684：  375/16
答案2685：  40
答案2686：  2
答案2687：  1679/2424
答案2688：  37/210
答案2689：  3807/91
答案2690：  3
答案2691：  169/576
答案2692：  -41/234
答案2693：  -1091/11
答案2694：  95/4
答案2695：  79/4
答案2696：  1425/16
答案2697：  72
答案2698：  17
答案2699：  869/40
答案2700：  39/2
答案2701：  1790/29
答案2702：  3
答案2703：  768
答案2704：  1/50
答案2705：  837/94
答案2706：  -53
答案2707：  6419/95
答案2708：  5543/99
答案2709：  2015/33
答案2710：  6/11
答案2711：  4648
答案2712：  6006
答案2713：  34/23
答案2714：  -46
答案2715：  415/4004
答案2716：  116/83
答案2717：  760/3007
答案2718：  1/8
答案2719：  994
答案2720：  10
答案2721：  63
答案2722：  714/11
答案2723：  2343/52
答案2724：  539/26
答案2725：  180
答案2726：  665/808
答案2727：  21
答案2728：  200/7
答案2729：  74
答案2730：  24
答案2731：  18
答案2732：  21/5
答案2733：  1136/99
答案2734：  41/49
答案2735：  106
答案2736：  2515/44
答案2737：  4697/79
答案2738：  607/101
答案2739：  798/23
答案2740：  55/1539
答案2741：  100
答案2742：  48
答案2743：  3833/50
答案2744：  19
答案2745：  -1899/86
答案2746：  8/189
答案2747：  27/47
答案2748：  22/37
答案2749：  -70/297
答案2750：  7
答案2751：  31/9
答案2752：  -82
答案2753：  1
答案2754：  14
答案2755：  124/511
答案2756：  98
答案2757：  6839/80
答案2758：  -3601/47
答案2759：  4451/54
答案2760：  3344/8245
答案2761：  4121/81
答案2762：  -4029/5822
答案2763：  1508/1425
答案2764：  19/11
答案2765：  1326
答案2766：  882/97
答案2767：  1563/989
答案2768：  -5326/95
答案2769：  96/17
答案2770：  24
答案2771：  1594/27
答案2772：  769/87
答案2773：  -8439/85
答案2774：  761/18
答案2775：  2274/1577
答案2776：  1972/3135
答案2777：  75/92
答案2778：  305/8
答案2779：  -268/35
答案2780：  3080/3713
答案2781：  1
答案2782：  15/2
答案2783：  22/3
答案2784：  6900
答案2785：  9/53
答案2786：  7056
答案2787：  80
答案2788：  -10/33
答案2789：  2342/25
答案2790：  6314/101
答案2791：  1433/3760
答案2792：  13/72
答案2793：  2842
答案2794：  112
答案2795：  3538
答案2796：  2418
答案2797：  608
答案2798：  3
答案2799：  912/25
答案2800：  -17
答案2801：  14183/7227
答案2802：  2/1225
答案2803：  213/4
答案2804：  3087
答案2805：  21/4
答案2806：  215/308
答案2807：  2153/44
答案2808：  91
答案2809：  48
答案2810：  357/16
答案2811：  146/119
答案2812：  648
答案2813：  15/22
答案2814：  8977/6552
答案2815：  4230/67
答案2816：  1610/87
答案2817：  18/5
答案2818：  4111/50
答案2819：  2426/97
答案2820：  5664/101
答案2821：  3
答案2822：  -50
答案2823：  17/2
答案2824：  1026/89
答案2825：  13/8
答案2826：  95/6
答案2827：  8809/6862
答案2828：  2597/2484
答案2829：  107/84
答案2830：  7199/89
答案2831：  -2335/24
答案2832：  1157
答案2833：  3904
答案2834：  33/7
答案2835：  537/1220
答案2836：  516/13
答案2837：  166/23
答案2838：  4903/79
答案2839：  121
答案2840：  497/16
答案2841：  1/97
答案2842：  1512/95
答案2843：  3530/99
答案2844：  7
答案2845：  3245
答案2846：  1/48
答案2847：  -45
答案2848：  4022/59
答案2849：  4
答案2850：  748/41
答案2851：  2904
答案2852：  1/46
答案2853：  -47/1513
答案2854：  34/25
答案2855：  260/61
答案2856：  6838/83
答案2857：  2
答案2858：  1/5
答案2859：  13/3
答案2860：  161/186
答案2861：  7243/98
答案2862：  106
答案2863：  8/17
答案2864：  2939/1984
答案2865：  141/1196
答案2866：  57
答案2867：  -1244/6161
答案2868：  2349/50
答案2869：  1316/101
答案2870：  106
答案2871：  13/73
答案2872：  4513/72
答案2873：  -17/35
答案2874：  3382
答案2875：  260/11
答案2876：  29/15
答案2877：  11
答案2878：  8093/91
答案2879：  2153/39
答案2880：  -41
答案2881：  3808/69
答案2882：  10
答案2883：  58
答案2884：  2
答案2885：  2387/8160
答案2886：  2310/79
答案2887：  29
答案2888：  183
答案2889：  5/97
答案2890：  1826/19
答案2891：  663/1504
答案2892：  34
答案2893：  1690/2133
答案2894：  29/13
答案2895：  -1367/61
答案2896：  83/7896
答案2897：  50/7
答案2898：  19/78
答案2899：  617/7524
答案2900：  5294/77
答案2901：  2728/29
答案2902：  448/1705
答案2903：  5610
答案2904：  1
答案2905：  585/16
答案2906：  3188/2345
答案2907：  -4721/92
答案2908：  86/329
答案2909：  136
答案2910：  2133/44
答案2911：  1/5
答案2912：  1269/2584
答案2913：  49
答案2914：  11
答案2915：  261/32
答案2916：  21/95
答案2917：  115
答案2918：  140
答案2919：  11/4
答案2920：  370/707
答案2921：  2992
答案2922：  -13
答案2923：  301/15
答案2924：  -965/19
答案2925：  23/51
答案2926：  248/85
答案2927：  444/91
答案2928：  73
答案2929：  7/59
答案2930：  20
答案2931：  21/320
答案2932：  31
答案2933：  96
答案2934：  76
答案2935：  2240
答案2936：  5130/97
答案2937：  6626/67
答案2938：  451/78
答案2939：  63
答案2940：  32/61
答案2941：  87
答案2942：  660
答案2943：  3/50
答案2944：  1/16
答案2945：  213/4
答案2946：  153/388
答案2947：  11/713
答案2948：  3468/59
答案2949：  1846/6399
答案2950：  2258/63
答案2951：  -6238/99
答案2952：  1
答案2953：  85/3
答案2954：  4186/67
答案2955：  -52/87
答案2956：  179/285
答案2957：  8775/94
答案2958：  28
答案2959：  2432/29
答案2960：  9
答案2961：  -1547/90
答案2962：  76
答案2963：  247/564
答案2964：  110
答案2965：  -19
答案2966：  -893/13
答案2967：  360/7
答案2968：  884/43
答案2969：  123
答案2970：  95/49
答案2971：  1019/2323
答案2972：  5869/79
答案2973：  1245/2368
答案2974：  1368
答案2975：  -29
答案2976：  11/8
答案2977：  -245/9
答案2978：  3479/6110
答案2979：  2140/23
答案2980：  135
答案2981：  517/69
答案2982：  82
答案2983：  -689/21
答案2984：  2921/41
答案2985：  67/28
答案2986：  9388/101
答案2987：  109
答案2988：  -6153/8383
答案2989：  2162/57
答案2990：  8561/93
答案2991：  1801/41
答案2992：  3791/3036
答案2993：  1175/62
答案2994：  363/4
答案2995：  -1093/2088
答案2996：  20
答案2997：  2345/46
答案2998：  -1561/4686
答案2999：  2443/50
答案3000：  3394/35
答案3001：  183
答案3002：  3483/94
答案3003：  -470/9
答案3004：  -1457/82
答案3005：  89
答案3006：  3399/86
答案3007：  1600/49
答案3008：  2
答案3009：  79/2
答案3010：  3627
答案3011：  28
答案3012：  345/29
答案3013：  -1937/3168
答案3014：  2394/71
答案3015：  15
答案3016：  8/5
答案3017：  473/670
答案3018：  3285/62
答案3019：  3/53
答案3020：  -11
答案3021：  1700/2773
答案3022：  6933/3626
答案3023：  1209/86
答案3024：  1291/49
答案3025：  9
答案3026：  3/5
答案3027：  364/1515
答案3028：  2683/55
答案3029：  4/79
答案3030：  359/7
答案3031：  153/4
答案3032：  1119/23
答案3033：  12/29
答案3034：  4
答案3035：  35/86
答案3036：  294/1081
答案3037：  396/5
答案3038：  19/5
答案3039：  18
答案3040：  2440/101
答案3041：  19/108
答案3042：  3661/50
答案3043：  2815/101
答案3044：  94/5
答案3045：  73/60
答案3046：  4
答案3047：  9463/7178
答案3048：  1891/1833
答案3049：  3
答案3050：  71/2
答案3051：  -283/2280
答案3052：  7
答案3053：  5
答案3054：  3/92
答案3055：  4042/101
答案3056：  144/5
答案3057：  8
答案3058：  6408/97
答案3059：  37/46
答案3060：  167/14
答案3061：  49/47
答案3062：  8
答案3063：  1
答案3064：  495
答案3065：  4961/101
答案3066：  11
答案3067：  305/2418
答案3068：  4282/4071
答案3069：  9/23
答案3070：  105
答案3071：  27/35
答案3072：  3229/1886
答案3073：  4501/69
答案3074：  91/97
答案3075：  3/5
答案3076：  511/2496
答案3077：  686/87
答案3078：  3/100
答案3079：  24
答案3080：  6
答案3081：  70
答案3082：  4249/3160
答案3083：  2
答案3084：  2547/5785
答案3085：  779/1176
答案3086：  5084
答案3087：  83
答案3088：  147
答案3089：  1
答案3090：  2848/59
答案3091：  204/1007
答案3092：  1
答案3093：  10
答案3094：  5978
答案3095：  185/4214
答案3096：  359/22
答案3097：  -215/1932
答案3098：  4/3
答案3099：  28
答案3100：  2438/25
答案3101：  85/2
答案3102：  1891/100
答案3103：  661/20
答案3104：  21
答案3105：  2755/3232
答案3106：  -79/26
答案3107：  5890
答案3108：  -24
答案3109：  7
答案3110：  2406/65
答案3111：  1107/26
答案3112：  -3040/31
答案3113：  102/79
答案3114：  11024/7469
答案3115：  603/11
答案3116：  569/16
答案3117：  12/11
答案3118：  4/5
答案3119：  700/11
答案3120：  -37/836
答案3121：  969/98
答案3122：  390/31
答案3123：  3040
答案3124：  12139/7790
答案3125：  19/7
答案3126：  1/93
答案3127：  86
答案3128：  48
答案3129：  2723/88
答案3130：  216
答案3131：  35
答案3132：  2583
答案3133：  21/145
答案3134：  205/3
答案3135：  1357/40
答案3136：  535/32
答案3137：  1371/14
答案3138：  7/8
答案3139：  3043/50
答案3140：  -3083/100
答案3141：  495/46
答案3142：  72
答案3143：  25
答案3144：  19/71
答案3145：  288/415
答案3146：  374/45
答案3147：  -95/2
答案3148：  -664/25
答案3149：  4513/84
答案3150：  37/129
答案3151：  2472/83
答案3152：  2016
答案3153：  2745/47
答案3154：  -1004/6141
答案3155：  1326/101
答案3156：  3442/37
答案3157：  -2918/31
答案3158：  1787/33
答案3159：  -536/23
答案3160：  34/5
答案3161：  9
答案3162：  49
答案3163：  6/5
答案3164：  69/40
答案3165：  58/45
答案3166：  4777/9021
答案3167：  4996/99
答案3168：  2249/87
答案3169：  1/33
答案3170：  1352/27
答案3171：  960
答案3172：  -1135/88
答案3173：  613/14
答案3174：  2410/101
答案3175：  2315/26
答案3176：  5323/97
答案3177：  11/9
答案3178：  739/8
答案3179：  1664/55
答案3180：  1319/89
答案3181：  16/7
答案3182：  8926/99
答案3183：  -1201/45
答案3184：  10/21
答案3185：  6213/3478
答案3186：  1348/747
答案3187：  -39
答案3188：  -844/21
答案3189：  611/1111
答案3190：  2000/101
答案3191：  383/660
答案3192：  2/15
答案3193：  2314/99
答案3194：  2200
答案3195：  2
答案3196：  -373/1292
答案3197：  221/38
答案3198：  101
答案3199：  76/9
答案3200：  4639/2813
答案3201：  2146/27
答案3202：  1807/53
答案3203：  67
答案3204：  125
答案3205：  1361/15
答案3206：  3
答案3207：  2607/3026
答案3208：  15/527
答案3209：  5/11
答案3210：  1/33
答案3211：  3402/89
答案3212：  2317/7968
答案3213：  5182/99
答案3214：  518/759
答案3215：  105
答案3216：  161
答案3217：  385/4
答案3218：  14
答案3219：  1009/5278
答案3220：  274/481
答案3221：  6/19
答案3222：  4/77
答案3223：  83
答案3224：  -286/95
答案3225：  18/95
答案3226：  360
答案3227：  35/4
答案3228：  36/133
答案3229：  8553/92
答案3230：  -91/90
答案3231：  20/47
答案3232：  6034/95
答案3233：  45
答案3234：  46/249
答案3235：  21
答案3236：  25/92
答案3237：  1/98
答案3238：  5755/101
答案3239：  1005/59
答案3240：  21
答案3241：  5412
答案3242：  6
答案3243：  11/21
答案3244：  -192/1505
答案3245：  1153/651
答案3246：  39/46
答案3247：  8446/93
答案3248：  2840
答案3249：  775/1968
答案3250：  -17
答案3251：  50
答案3252：  4554
答案3253：  -927/92
答案3254：  570/97
答案3255：  675/7
答案3256：  1/5
答案3257：  -8
答案3258：  802/9
答案3259：  245/4761
答案3260：  22
答案3261：  4842/85
答案3262：  176/19
答案3263：  7/9
答案3264：  617/7
答案3265：  -38
答案3266：  2325/32
答案3267：  25
答案3268：  17/43
答案3269：  99/4
答案3270：  1622/1463
答案3271：  449/1064
答案3272：  -29
答案3273：  61/182
答案3274：  167
答案3275：  50
答案3276：  104
答案3277：  5096
答案3278：  4055/43
答案3279：  79
答案3280：  59/2
答案3281：  3/20
答案3282：  1267/79
答案3283：  1/22
答案3284：  5135/94
答案3285：  118
答案3286：  7644/101
答案3287：  5451/94
答案3288：  567/8
答案3289：  5591/61
答案3290：  94/5
答案3291：  87
答案3292：  7
答案3293：  75
答案3294：  47/3
答案3295：  172
答案3296：  3610
答案3297：  212/19
答案3298：  19
答案3299：  -1608/49
答案3300：  6995/93
答案3301：  3/85
答案3302：  4956/65
答案3303：  1400/83
答案3304：  72
答案3305：  6650
答案3306：  278/69
答案3307：  645/1504
答案3308：  290/9
答案3309：  3465
答案3310：  -2962/59
答案3311：  1890/97
答案3312：  1815/41
答案3313：  131
答案3314：  12
答案3315：  3/11
答案3316：  -29/1045
答案3317：  612
答案3318：  1/8
答案3319：  2376
答案3320：  35/2
答案3321：  1/84
答案3322：  7/13
答案3323：  2/93
答案3324：  134/217
答案3325：  4
答案3326：  1260/97
答案3327：  6279
答案3328：  93
答案3329：  -26
答案3330：  11
答案3331：  5/2
答案3332：  450/671
答案3333：  24
答案3334：  5185/72
答案3335：  -1423/20
答案3336：  4819/75
答案3337：  -953/40
答案3338：  6268/75
答案3339：  263/1480
答案3340：  34/7
答案3341：  8
答案3342：  1485/23
答案3343：  -1260/43
答案3344：  81
答案3345：  648/3053
答案3346：  2003/29
答案3347：  1992/41
答案3348：  1/95
答案3349：  1/2
答案3350：  2
答案3351：  1920
答案3352：  255/4
答案3353：  1449/3895
答案3354：  6/11
答案3355：  5
答案3356：  2521/75
答案3357：  124
答案3358：  1596/101
答案3359：  -1351/15
答案3360：  116
答案3361：  2597/30
答案3362：  140
答案3363：  -3889/44
答案3364：  1009/46
答案3365：  6/37
答案3366：  1618/75
答案3367：  1965/2068
答案3368：  20/3
答案3369：  33/598
答案3370：  -562/21
答案3371：  -89/95
答案3372：  -1405/43
答案3373：  5333/8900
答案3374：  90/13
答案3375：  93
答案3376：  336/5
答案3377：  1000/61
答案3378：  32
答案3379：  1357/988
答案3380：  1032
答案3381：  297/8
答案3382：  8722/97
答案3383：  3078/71
答案3384：  9/74
答案3385：  1530
答案3386：  8057/7221
答案3387：  123
答案3388：  7/10
答案3389：  9
答案3390：  5957/75
答案3391：  9
答案3392：  18
答案3393：  1364
答案3394：  17/98
答案3395：  639/73
答案3396：  13/44
答案3397：  5767/85
答案3398：  -67
答案3399：  1321/869
答案3400：  7861/87
答案3401：  4039/101
答案3402：  8099/92
答案3403：  4796/4209
答案3404：  1/10
答案3405：  488/1175
答案3406：  1511/1360
答案3407：  107
答案3408：  -3677/78
答案3409：  6661/5251
答案3410：  1274/2325
答案3411：  41/240
答案3412：  1
答案3413：  -7
答案3414：  41/8
答案3415：  93
答案3416：  93/46
答案3417：  20/33
答案3418：  22
答案3419：  11
答案3420：  -19
答案3421：  1612/59
答案3422：  23/5
答案3423：  1/5
答案3424：  1000/49
答案3425：  147
答案3426：  317/2697
答案3427：  27/8
答案3428：  177/623
答案3429：  2989/93
答案3430：  -1203/74
答案3431：  896/1147
答案3432：  7/240
答案3433：  -21
答案3434：  -1854/29
答案3435：  86
答案3436：  611/2231
答案3437：  4941/71
答案3438：  4639/90
答案3439：  4684/87
答案3440：  6968/85
答案3441：  1249/17
答案3442：  5
答案3443：  105
答案3444：  728/3069
答案3445：  2209/35
答案3446：  662/87
答案3447：  55
答案3448：  507/1180
答案3449：  80
答案3450：  1/49
答案3451：  49/4
答案3452：  14
答案3453：  6
答案3454：  -3291/7826
答案3455：  83
答案3456：  -3690/89
答案3457：  8
答案3458：  6
答案3459：  1287/17
答案3460：  85
答案3461：  725/33
答案3462：  2079/6557
答案3463：  1921/1472
答案3464：  -11
答案3465：  31/100
答案3466：  35/31
答案3467：  2974/97
答案3468：  1346/31
答案3469：  -3505/48
答案3470：  4678/77
答案3471：  32/5
答案3472：  726/23
答案3473：  10061/6734
答案3474：  2704/43
答案3475：  3038/71
答案3476：  1549/50
答案3477：  3864
答案3478：  4797/56
答案3479：  46/91
答案3480：  445/8
答案3481：  641/1363
答案3482：  102
答案3483：  3510/83
答案3484：  648
答案3485：  8
答案3486：  -7678/101
答案3487：  -2458/35
答案3488：  -3277/5170
答案3489：  -194/3
答案3490：  122
答案3491：  4411/79
答案3492：  679/2046
答案3493：  871/1647
答案3494：  -7975/86
答案3495：  9/14
答案3496：  7129/99
答案3497：  10/39
答案3498：  2773
答案3499：  75/4
答案3500：  158
答案3501：  -589/1677
答案3502：  3952/47
答案3503：  2380/33
答案3504：  8/71
答案3505：  -667/2025
答案3506：  1435/16
答案3507：  1/55
答案3508：  8
答案3509：  4464/91
答案3510：  30
答案3511：  -14
答案3512：  17
答案3513：  -1311/82
答案3514：  7/11
答案3515：  192/7
答案3516：  -6769/85
答案3517：  18/13
答案3518：  5531/97
答案3519：  1980
答案3520：  74/81
答案3521：  4672/85
答案3522：  1
答案3523：  18592/9999
答案3524：  3087/100
答案3525：  23/153
答案3526：  -2772/31
答案3527：  3304/43
答案3528：  1551/17
答案3529：  342
答案3530：  27/23
答案3531：  4187/85
答案3532：  2932/1679
答案3533：  3199/76
答案3534：  1/39
答案3535：  -6617/68
答案3536：  59/10
答案3537：  32/9
答案3538：  2884/37
答案3539：  -1707/80
答案3540：  4018/87
答案3541：  671/510
答案3542：  189/704
答案3543：  90
答案3544：  320/9
答案3545：  2741/61
答案3546：  2378
答案3547：  3956/77
答案3548：  553/646
答案3549：  -55
答案3550：  -3329/95
答案3551：  6
答案3552：  81/11
答案3553：  1/64
答案3554：  26/3
答案3555：  2
答案3556：  396
答案3557：  -6299/73
答案3558：  2759/32
答案3559：  1960/99
答案3560：  -15
答案3561：  3122/47
答案3562：  7
答案3563：  6206/81
答案3564：  4332
答案3565：  1
答案3566：  6
答案3567：  -32
答案3568：  181/2414
答案3569：  6
答案3570：  113
答案3571：  177/7544
答案3572：  671/15
答案3573：  31
答案3574：  50/11
答案3575：  -58
答案3576：  952/37
答案3577：  93
答案3578：  10/77
答案3579：  -25/217
答案3580：  87/4
答案3581：  1242
答案3582：  1/24
答案3583：  1682/27
答案3584：  2607/58
答案3585：  15/86
答案3586：  1/17
答案3587：  -1766/45
答案3588：  29/4
答案3589：  5
答案3590：  7516/99
答案3591：  135
答案3592：  5753/79
答案3593：  49/36
答案3594：  6520/81
答案3595：  4400/73
答案3596：  1338/49
答案3597：  97/11
答案3598：  -526/13
答案3599：  4647/4984
答案3600：  -1413/35
答案3601：  628/11
答案3602：  703/17
答案3603：  122
答案3604：  17
答案3605：  36/83
答案3606：  2538/95
答案3607：  5939/7110
答案3608：  20
答案3609：  -28
答案3610：  3673/93
答案3611：  1497/88
答案3612：  5/31
答案3613：  5346/101
答案3614：  2747/3230
答案3615：  -6
答案3616：  5913/5795
答案3617：  41/29
答案3618：  5551/8640
答案3619：  3
答案3620：  800/33
答案3621：  72
答案3622：  -47/510
答案3623：  2
答案3624：  -5/36
答案3625：  1
答案3626：  -365/13
答案3627：  7351/101
答案3628：  -377/1683
答案3629：  301/858
答案3630：  128
答案3631：  4087/45
答案3632：  1
答案3633：  1/97
答案3634：  3/7
答案3635：  12
答案3636：  1889/1896
答案3637：  4142/43
答案3638：  26/9
答案3639：  5057/3685
答案3640：  2195/2139
答案3641：  3496
答案3642：  4595/2464
答案3643：  467/13
答案3644：  2668/1615
答案3645：  1956/23
答案3646：  96
答案3647：  1/2
答案3648：  1088
答案3649：  2537/7268
答案3650：  38
答案3651：  1/18
答案3652：  6151/81
答案3653：  17/6
答案3654：  1047/11
答案3655：  1364/1547
答案3656：  13/4
答案3657：  3608/95
答案3658：  182/235
答案3659：  1305/14
答案3660：  -4416/91
答案3661：  -2026/23
答案3662：  891
答案3663：  -401/99
答案3664：  248/707
答案3665：  56
答案3666：  -242/9
答案3667：  2/87
答案3668：  3744/3535
答案3669：  22/31
答案3670：  3/2
答案3671：  16927/8989
答案3672：  9889/9595
答案3673：  173
答案3674：  14/17
答案3675：  472/19
答案3676：  205/4664
答案3677：  88
答案3678：  3
答案3679：  45
答案3680：  -791/23
答案3681：  1439/16
答案3682：  31
答案3683：  107
答案3684：  1/43
答案3685：  38/5
答案3686：  -82/3
答案3687：  3/76
答案3688：  11853/7474
答案3689：  4975/67
答案3690：  980
答案3691：  476/325
答案3692：  1520/43
答案3693：  58
答案3694：  -1348/41
答案3695：  32
答案3696：  7
答案3697：  16
答案3698：  2075/94
答案3699：  84
答案3700：  14/3
答案3701：  1
答案3702：  1/29
答案3703：  28
答案3704：  2
答案3705：  -18/85
答案3706：  -1973/4747
答案3707：  37/2
答案3708：  2
答案3709：  43/41
答案3710：  -7488/85
答案3711：  14
答案3712：  64/11
答案3713：  -46/6039
答案3714：  2
答案3715：  1181/50
答案3716：  2668/101
答案3717：  981/20
答案3718：  7
答案3719：  -53
答案3720：  4601/98
答案3721：  -95/279
答案3722：  7/17
答案3723：  19/2
答案3724：  118
答案3725：  44
答案3726：  2/57
答案3727：  1380/47
答案3728：  -27
答案3729：  43/9
答案3730：  3357/47
答案3731：  5/68
答案3732：  5193/98
答案3733：  -2017/5141
答案3734：  -359/20
答案3735：  780
答案3736：  2/39
答案3737：  35/11
答案3738：  1692
答案3739：  1/10201
答案3740：  2313/37
答案3741：  4103/2220
答案3742：  4151/47
答案3743：  -5429/8360
答案3744：  9400/9797
答案3745：  2300/87
答案3746：  349/13
答案3747：  -15/98
答案3748：  1878/95
答案3749：  5645/56
答案3750：  12/19
答案3751：  83/32
答案3752：  6
答案3753：  -610/57
答案3754：  4088/5893
答案3755：  71
答案3756：  13/2
答案3757：  8136/85
答案3758：  -27
答案3759：  4662
答案3760：  1625/94
答案3761：  76/51
答案3762：  4
答案3763：  609/31
答案3764：  1/16
答案3765：  1917/34
答案3766：  4468/97
答案3767：  117/4
答案3768：  1/56
答案3769：  -2061/100
答案3770：  4131/86
答案3771：  1913/34
答案3772：  1
答案3773：  44/5
答案3774：  7/23
答案3775：  -18
答案3776：  43/225
答案3777：  97
答案3778：  3
答案3779：  48
答案3780：  203/12
答案3781：  1474/31
答案3782：  1
答案3783：  -4142/101
答案3784：  4419/95
答案3785：  578/1425
答案3786：  992/37
答案3787：  1593/49
答案3788：  2/73
答案3789：  693/10
答案3790：  2305/82
答案3791：  33
答案3792：  13/6
答案3793：  1196/25
答案3794：  283/9
答案3795：  281/30
答案3796：  11
答案3797：  -1179/23
答案3798：  2651/40
答案3799：  866/11
答案3800：  2176/69
答案3801：  3822/47
答案3802：  441/5
答案3803：  8317/6424
答案3804：  2191/24
答案3805：  8017/90
答案3806：  705/736
答案3807：  76
答案3808：  299/97
答案3809：  144
答案3810：  287/68
答案3811：  3405/62
答案3812：  2418
答案3813：  2088/6767
答案3814：  32
答案3815：  27
答案3816：  693/41
答案3817：  2365/47
答案3818：  505/59
答案3819：  2
答案3820：  -13/30
答案3821：  1488/19
答案3822：  494/799
答案3823：  13
答案3824：  87/4
答案3825：  4/49
答案3826：  -1510/29
答案3827：  256/333
答案3828：  3922/91
答案3829：  1/90
答案3830：  -103/525
答案3831：  315/4
答案3832：  2
答案3833：  10
答案3834：  3355/94
答案3835：  1/33
答案3836：  7098/101
答案3837：  50/33
答案3838：  24
答案3839：  -21/20
答案3840：  -4001/56
答案3841：  69/2
答案3842：  3
答案3843：  4735/49
答案3844：  400/19
答案3845：  581/13
答案3846：  -39
答案3847：  179/111
答案3848：  118
答案3849：  11
答案3850：  2595/1666
答案3851：  5950/93
答案3852：  81/23
答案3853：  403/1421
答案3854：  -842/19
答案3855：  12
答案3856：  5048/73
答案3857：  1040/17
答案3858：  51/43
答案3859：  1501/20
答案3860：  5400/101
答案3861：  5381/84
答案3862：  4640/81
答案3863：  763/87
答案3864：  -78
答案3865：  15/31
答案3866：  7771/78
答案3867：  6
答案3868：  2889/80
答案3869：  2432/3535
答案3870：  5753/6700
答案3871：  8
答案3872：  18
答案3873：  -3124/39
答案3874：  1
答案3875：  2262/61
答案3876：  1007/74
答案3877：  2213/2508
答案3878：  4400
答案3879：  957/95
答案3880：  75/7
答案3881：  1316/81
答案3882：  3
答案3883：  2491/56
答案3884：  8
答案3885：  909/10
答案3886：  13/16
答案3887：  2
答案3888：  170/3
答案3889：  467/2150
答案3890：  3344/87
答案3891：  -6015/77
答案3892：  2
答案3893：  41
答案3894：  1/21
答案3895：  49/15
答案3896：  372/7
答案3897：  -182/6035
答案3898：  24
答案3899：  44
答案3900：  6
答案3901：  8689/99
答案3902：  5304
答案3903：  966/13
答案3904：  199/3
答案3905：  33/101
答案3906：  11/10
答案3907：  851/16
答案3908：  26
答案3909：  27/7
答案3910：  77
答案3911：  1
答案3912：  13/2
答案3913：  767
答案3914：  2800
答案3915：  3719/75
答案3916：  -1726/6633
答案3917：  -17
答案3918：  352/29
答案3919：  -711/95
答案3920：  11/31
答案3921：  2225/88
答案3922：  4747/92
答案3923：  3
答案3924：  -737/49
答案3925：  -47/234
答案3926：  7774/89
答案3927：  2/73
答案3928：  11/17
答案3929：  53/2
