题目1：  29 + 85
题目1839：  74 ÷ 1/12
题目1840：  21/44 + 71/72
题目1841：  22 × 76
题目1842：  3/38 + 25/32
题目1843：  8/11 + 70
题目1844：  25/29 + 90
题目1845：  34/37 × 79
题目1846：  45/97 + 22
题目1847：  1/27 + 5
题目1848：  4 - 60
题目1849：  31 + 90
题目1850：  68/75 × 31
题目1851：  58 + 78
题目1852：  7/13 ÷ 7/52
题目1853：  82 ÷ 1
题目1854：  22 ÷ 1/73
题目1855：  57/97 × 12/17
题目1856：  71 ÷ 1/13
题目1857：  6/49 + 5
题目1858：  8/23 - 22/25
题目1859：  37/43 - 25
题目1860：  35/61 + 47/49
题目1861：  17 + 52
题目1862：  19/29 × 2/3
题目1863：  14/19 + 31
题目1864：  90 - 18/19
题目1865：  100/101 - 16
题目1866：  90/101 × 27
题目1867：  89/96 × 26
题目1868：  4/15 + 89
题目1869：  36 - 29/32
题目1870：  5 ÷ 1/3
题目1871：  17/18 + 26
题目1872：  13/88 + 99/101
题目1873：  76 ÷ 19
题目1874：  40/41 - 91/92
题目1875：  29/30 - 41/96
题目1876：  56 ÷ 8/13
题目1877：  43/79 × 74
题目1878：  53/75 + 82
题目1879：  32/91 × 65/81
题目1880：  87/94 × 95
题目1881：  81/100 + 94
题目1882：  7/99 + 79
题目1883：  61 ÷ 1/3
题目1884：  33/89 + 83
题目1885：  40 - 43/50
题目1886：  64 × 68
题目1887：  9/40 + 49
题目1888：  4 + 67
题目1889：  34/71 - 42
题目1890：  87 + 87
题目1891：  25/41 + 82
题目1892：  59/71 × 13
题目1893：  35 ÷ 5/34
题目1894：  23/38 + 75
题目1895：  3/10 - 10
题目1896：  33 - 2
题目1897：  95 ÷ 1/12
题目1898：  5/71 - 8/37
题目1899：  61/95 + 37/50
题目1900：  7/10 × 82/99
题目1901：  39 ÷ 1/10
题目1902：  78 ÷ 39/67
题目1903：  12/41 × 1/2
题目1904：  44/49 + 84
题目1905：  4/5 - 27/53
题目1906：  65 - 85
题目1907：  67/85 × 59
题目1908：  40 ÷ 8/93
题目1909：  1/5 × 9/32
题目1910：  41/79 × 18/19
题目1911：  43/96 - 38/69
题目1912：  6 - 52
题目1913：  40/49 - 17/18
题目1914：  19/20 - 10
题目1915：  4/33 - 15/16
题目1916：  59 ÷ 1
题目1917：  23/100 × 69/80
题目1918：  5/6 + 89/98
题目1919：  27/94 × 36
题目1920：  100/101 + 80
题目1921：  6/73 × 76/85
题目1922：  30/83 - 65/71
题目1923：  84 ÷ 1/20
题目1924：  85/97 + 80
题目1925：  13 + 53
题目1926：  99/100 - 34/63
题目1927：  94/99 × 98
题目1928：  57 - 74/75
题目1929：  64 ÷ 1
题目1930：  50 ÷ 25/27
题目1931：  15/41 - 38
题目1932：  5/39 × 12/23
题目1933：  33/46 × 19/22
题目1934：  7/16 × 86
题目1935：  66 ÷ 66/67
题目1936：  13/55 - 85/99
题目1937：  5/71 + 12/31
题目1938：  11 × 46
题目1939：  4 × 62
题目1940：  44/45 × 27
题目1941：  95/98 × 17
题目1942：  72 ÷ 1
题目1943：  79 + 86
题目1944：  71 - 1/10
题目1945：  32 + 35
题目1946：  77 ÷ 1/3
题目1947：  47 ÷ 1/5
题目1948：  1/2 + 70
题目1949：  16 - 1/70
题目1950：  42 ÷ 14
题目1951：  62 - 9/11
题目1952：  31/41 × 31/35
题目1953：  9/10 - 77
题目1954：  85 - 79/101
题目1955：  71/90 × 55
题目1956：  17/58 × 98/101
题目1957：  37/50 + 13
题目1958：  65 ÷ 5/18
题目1959：  24 ÷ 8/77
题目1960：  35/79 + 8
题目1961：  11 - 5
题目1962：  6 ÷ 2/31
题目1963：  33 - 43/97
题目1964：  12 ÷ 4
题目1965：  38 ÷ 1/4
题目1966：  58 ÷ 2
题目1967：  72 × 85
题目1968：  84/101 + 46
题目1969：  8 + 52
题目1970：  56 × 80
题目1971：  47 ÷ 1
题目1972：  47/48 - 79
题目1973：  98 - 88
题目1974：  19/25 × 51
题目1975：  7 + 30
题目1976：  3 × 34
题目1977：  31 ÷ 1/6
题目1978：  4 + 48
题目1979：  88 ÷ 1/5
题目1980：  20/31 + 71
题目1981：  24 × 55
题目1982：  5 - 3
题目1983：  47/48 + 73
题目1984：  27/29 + 91/97
题目1985：  75 ÷ 3
题目1986：  99 - 1/21
题目1987：  13/22 × 80
题目1988：  64 - 19
题目1989：  18/37 × 39
题目1990：  16/93 + 54
题目1991：  5/49 + 94/95
题目1992：  13/31 + 5/9
题目1993：  95 ÷ 1/30
题目1994：  72 ÷ 24
题目1995：  1 - 37
题目1996：  46/97 + 13/18
题目1997：  29/80 × 95
题目1998：  95 - 23
题目1999：  1/2 + 51
题目2000：  17/31 + 19
题目2001：  17/84 + 87
题目2002：  6 ÷ 3/10
题目2003：  8 × 12
题目2004：  6 ÷ 2/3
题目2005：  29 ÷ 1/72
题目2006：  2/3 - 8
题目2007：  15/34 + 26
题目2008：  36 + 88
题目2009：  87/98 × 13
题目2010：  33/98 + 6
题目2011：  19 - 47/93
题目2012：  80 ÷ 80
题目2013：  37 - 24/31
题目2014：  69/74 - 98
题目2015：  39/64 + 79/89
题目2016：  35 ÷ 1/4
题目2017：  9 ÷ 1/7
题目2018：  55 ÷ 1/2
题目2019：  11 + 46
题目2020：  50 × 71
题目2021：  12/61 × 90
题目2022：  45/79 + 48
题目2023：  3/5 - 22
题目2024：  78 + 97
题目2025：  75 - 43/82
题目2026：  69/77 + 95
题目2027：  45 ÷ 1/3
题目2028：  36/43 + 18
题目2029：  75/101 × 51
题目2030：  6/7 - 26/31
题目2031：  15/37 - 19/100
题目2032：  24 ÷ 1/3
题目2033：  18 ÷ 2
题目2034：  45 × 74
题目2035：  68 + 82
题目2036：  46 ÷ 1/3
题目2037：  92/99 × 79
题目2038：  34/49 - 26
题目2039：  9 + 37
题目2040：  40/47 + 6
题目2041：  28/71 - 94/97
题目2042：  34 + 78
题目2043：  69 - 19/27
题目2044：  66 ÷ 2/5
题目2045：  9/83 + 79
题目2046：  38 - 30
题目2047：  64 ÷ 4/19
题目2048：  2/3 + 22
题目2049：  73 - 47/83
题目2050：  56 - 1/2
题目2051：  10 ÷ 1/11
题目2052：  50 ÷ 1/32
题目2053：  66/101 - 4
题目2054：  87 - 26/73
题目2055：  28 ÷ 14/15
题目2056：  27/35 × 28/33
题目2057：  99 ÷ 1/50
题目2058：  22/31 + 27/32
题目2059：  82 - 10/11
题目2060：  16/67 + 25/42
题目2061：  19/42 × 53
题目2062：  93 - 53
题目2063：  24/43 + 80
题目2064：  52 ÷ 4/71
题目2065：  33 ÷ 1/2
题目2066：  23 + 91
题目2067：  65 - 75/97
题目2068：  6 × 98
题目2069：  95/97 × 98
题目2070：  94/101 × 16
题目2071：  17/77 × 34/45
题目2072：  14 ÷ 2
题目2073：  18/89 + 95/99
题目2074：  30 + 82
题目2075：  55 - 45
题目2076：  5/26 + 99/101
题目2077：  8/59 - 58
题目2078：  4/37 + 96
题目2079：  38/55 - 1/42
题目2080：  85 - 59
题目2081：  35/71 × 29
题目2082：  16/31 + 5
题目2083：  54 - 24
题目2084：  17 × 56
题目2085：  68 ÷ 2/13
题目2086：  25 ÷ 5/68
题目2087：  52/101 + 80
题目2088：  30/71 + 46
题目2089：  67/84 + 86
题目2090：  74/77 - 42
题目2091：  25 - 5/88
题目2092：  31/32 + 83
题目2093：  72 - 66/67
题目2094：  7 - 10
题目2095：  67/80 ÷ 1/80
题目2096：  7/30 + 83/84
题目2097：  29 + 41
题目2098：  52 × 67
题目2099：  57 ÷ 57
题目2100：  34 + 45
题目2101：  75/91 × 47
题目2102：  43/48 - 9/10
题目2103：  87 ÷ 1/3
题目2104：  96 ÷ 24
题目2105：  97 ÷ 1/17
题目2106：  38/83 × 21
题目2107：  19 - 7/25
题目2108：  31 - 10
题目2109：  47 × 52
题目2110：  56 ÷ 7/13
题目2111：  91/95 - 22
题目2112：  85 ÷ 85/98
题目2113：  50/97 × 6
题目2114：  46 ÷ 23/27
题目2115：  4/5 × 23/25
题目2116：  27 - 23
题目2117：  2/89 + 97/98
题目2118：  27/38 × 97
题目2119：  90 ÷ 10
题目2120：  69/101 × 93/100
题目2121：  13/63 × 32
题目2122：  32/65 × 92
题目2123：  56/67 - 11/82
题目2124：  29/93 - 28
题目2125：  89/97 + 8
题目2126：  73 ÷ 73/100
题目2127：  10/23 + 29/55
题目2128：  34 ÷ 1/2
题目2129：  91 - 38
题目2130：  4 - 48/49
题目2131：  26 - 9/71
题目2132：  95 ÷ 5/92
题目2133：  12/25 - 72
题目2134：  36 + 69
题目2135：  49 - 66
题目2136：  7 ÷ 1
题目2137：  69/74 + 84
题目2138：  61/99 × 100
题目2139：  6/95 × 1
题目2140：  55/83 × 46/49
题目2141：  53/66 - 6
题目2142：  90 ÷ 9/70
题目2143：  51 - 15
题目2144：  7/82 × 1/2
题目2145：  32 + 41
题目2146：  3/5 × 53
题目2147：  31/46 - 94
题目2148：  53/76 + 100
题目2149：  47/55 × 82/85
题目2150：  84 ÷ 4/45
题目2151：  50/91 + 48/85
题目2152：  53 - 66
题目2153：  68/93 × 87/89
题目2154：  13/47 × 74
题目2155：  24/25 ÷ 24/25
题目2156：  3/10 × 94
题目2157：  23/30 - 29/52
题目2158：  69 ÷ 69
题目2159：  91 - 79/94
题目2160：  1/6 + 34/41
题目2161：  52/83 + 63
题目2162：  23 × 97
题目2163：  96/101 + 64
题目2164：  53 + 55
题目2165：  16/17 × 57
题目2166：  47 × 60
题目2167：  79 × 95
题目2168：  81/101 × 1
题目2169：  19/25 - 90
题目2170：  56/97 × 69
题目2171：  38/39 - 3/10
题目2172：  40/69 - 8/9
题目2173：  40 - 84
题目2174：  13/34 + 76/93
题目2175：  72/89 - 33/34
题目2176：  56 - 89
题目2177：  16/23 + 23/33
题目2178：  90 ÷ 45
题目2179：  7/8 + 75
题目2180：  99/101 - 74
题目2181：  16 × 48
题目2182：  17/44 - 95
题目2183：  60 - 29
题目2184：  94 - 70
题目2185：  1/2 × 17/24
题目2186：  3/4 × 10
题目2187：  99/100 + 34
题目2188：  60 - 5/18
题目2189：  40/89 × 3
题目2190：  99/100 × 50
题目2191：  3/4 × 63
题目2192：  41/54 + 1
题目2193：  66 ÷ 1/18
题目2194：  77/81 + 91/95
题目2195：  20/29 + 74
题目2196：  3/4 × 97/100
题目2197：  9 ÷ 1/20
题目2198：  50 ÷ 1
题目2199：  65 ÷ 13/40
题目2200：  4/5 - 23/33
题目2201：  47/50 - 41/74
题目2202：  54/79 × 81/95
题目2203：  86/95 + 99/100
题目2204：  89/100 - 48
题目2205：  39 ÷ 3
题目2206：  83/99 + 46
题目2207：  79 ÷ 79/98
题目2208：  26/33 - 4/5
题目2209：  11/19 + 48
题目2210：  35/78 + 87
题目2211：  70 ÷ 2
题目2212：  18/25 × 99/100
题目2213：  39 ÷ 39
题目2214：  40 + 73
题目2215：  2/5 + 92
题目2216：  95/97 × 48
题目2217：  49/90 - 92/95
题目2218：  3/94 + 97
题目2219：  9 × 49
题目2220：  12 ÷ 3/11
题目2221：  12/13 - 86
题目2222：  23/24 × 85
题目2223：  71/76 + 25
题目2224：  1/5 + 8
题目2225：  9 - 16
题目2226：  2/31 - 93
题目2227：  20 × 80
题目2228：  88 ÷ 1/4
题目2229：  92/101 - 96
题目2230：  11/16 × 98/101
题目2231：  46 - 33/43
题目2232：  24/25 + 9
题目2233：  30 ÷ 15
题目2234：  11/26 - 2/5
题目2235：  1 ÷ 1/46
题目2236：  11 + 37
题目2237：  13 - 8/93
题目2238：  13/16 - 21/32
题目2239：  46 ÷ 46
题目2240：  31 ÷ 31
题目2241：  2/21 × 17/29
题目2242：  33/43 × 100/101
题目2243：  43/72 × 86
题目2244：  40 ÷ 8
题目2245：  99 ÷ 11/24
题目2246：  5/8 × 59
题目2247：  71/101 + 67/86
题目2248：  96 ÷ 32
题目2249：  17 - 75
题目2250：  74 × 80
题目2251：  33 ÷ 11/12
题目2252：  95/101 - 22
题目2253：  50 × 52
题目2254：  24 ÷ 3
题目2255：  45 - 51
题目2256：  17 ÷ 17/18
题目2257：  7/13 - 31
题目2258：  13/18 + 66
题目2259：  93 ÷ 3/14
题目2260：  97 ÷ 1/8
题目2261：  53 - 72/101
题目2262：  20/97 × 11
题目2263：  40 - 4
题目2264：  47/75 × 41/50
题目2265：  29/89 × 11/13
题目2266：  19/46 + 100/101
题目2267：  37/58 - 69
题目2268：  62/91 - 12/19
题目2269：  14 + 82
题目2270：  4/7 × 20/27
题目2271：  77 ÷ 1/7
题目2272：  69/95 + 54
题目2273：  43/68 × 73
题目2274：  50 ÷ 5/23
题目2275：  3 + 100
题目2276：  13 × 30
题目2277：  13/22 × 20
题目2278：  19/23 × 62
题目2279：  47/62 - 1/3
题目2280：  21/32 + 49
题目2281：  100/101 ÷ 5/101
题目2282：  23/48 × 83/87
题目2283：  32/33 - 81
题目2284：  59/87 - 97
题目2285：  84 ÷ 28
题目2286：  36 + 79
题目2287：  100 ÷ 4
题目2288：  46/101 + 15/32
题目2289：  80 ÷ 10/17
题目2290：  49 ÷ 7/11
题目2291：  18 × 71
题目2292：  35 ÷ 7/50
题目2293：  38 ÷ 2/3
题目2294：  21/88 × 33/100
题目2295：  20/93 + 5
题目2296：  84 - 58
题目2297：  1 + 43
题目2298：  93/95 - 27
题目2299：  1/5 × 13
题目2300：  15 ÷ 5/57
题目2301：  95 ÷ 5/24
题目2302：  67/77 + 66
题目2303：  76 ÷ 38/63
题目2304：  87 ÷ 1/2
题目2305：  44 ÷ 1/20
题目2306：  49/57 - 11/21
题目2307：  4/33 + 44
题目2308：  23 + 99
题目2309：  35 × 65
题目2310：  72 ÷ 1/31
题目2311：  78 ÷ 1/8
题目2312：  6/7 × 45
题目2313：  3/44 × 57
题目2314：  77/87 × 70
题目2315：  71 ÷ 71/73
题目2316：  27 + 76
题目2317：  92 - 25
题目2318：  65/89 × 96
题目2319：  19 + 60
题目2320：  22 × 53
题目2321：  92/97 - 9/101
题目2322：  3/83 + 86/89
题目2323：  68/101 + 13
题目2324：  63 ÷ 3
题目2325：  74/75 × 16
题目2326：  35 + 36
题目2327：  68 ÷ 17/90
题目2328：  74 - 59/72
题目2329：  85 - 45
题目2330：  28/41 + 32
题目2331：  31 - 12/23
题目2332：  54/95 + 6
题目2333：  4/57 + 29
题目2334：  12 ÷ 2
题目2335：  67/100 + 49
题目2336：  13/41 × 81
题目2337：  71 - 8/47
题目2338：  64/69 + 61
题目2339：  31/39 × 69/73
题目2340：  75 - 37/45
题目2341：  33/43 + 4/5
题目2342：  3/5 + 98
题目2343：  11/29 × 3/5
题目2344：  55/57 + 59
题目2345：  57 - 94
题目2346：  5/16 × 82
题目2347：  88 ÷ 11/13
题目2348：  26/27 + 8
题目2349：  8/11 + 88
题目2350：  19/70 + 3
题目2351：  53 ÷ 1
题目2352：  1/85 + 43/50
题目2353：  71/79 × 31/33
题目2354：  88/93 × 2
题目2355：  9/46 × 13/16
题目2356：  14 ÷ 1/39
题目2357：  14 - 25/34
题目2358：  74 - 34
题目2359：  96 - 5
题目2360：  8/85 × 52
题目2361：  48/95 - 40/89
题目2362：  31/33 × 77
题目2363：  49/81 - 37
题目2364：  79/101 × 95
题目2365：  7/19 × 49
题目2366：  76/99 - 13
题目2367：  85/96 × 80
题目2368：  15/38 + 73/92
题目2369：  98/101 - 83/95
题目2370：  50 + 63
题目2371：  15/19 - 100/101
题目2372：  56/81 + 29/41
题目2373：  80 ÷ 5/7
题目2374：  15 × 65
题目2375：  2 + 79
题目2376：  62/99 × 66
题目2377：  4/17 + 62
题目2378：  55 + 77
题目2379：  1/19 × 24
题目2380：  26 ÷ 2/3
题目2381：  71 ÷ 1/2
题目2382：  40 ÷ 2/47
题目2383：  29/36 - 30
题目2384：  2/7 - 85/99
题目2385：  84 ÷ 7/15
题目2386：  28 ÷ 4
题目2387：  86 ÷ 2/7
题目2388：  5/33 - 68
题目2389：  9/13 + 67/79
题目2390：  66 ÷ 11/12
题目2391：  54 + 59
题目2392：  55 ÷ 11/15
题目2393：  14/57 - 61/97
题目2394：  75/94 - 15/62
题目2395：  39/80 + 41/43
题目2396：  99/101 - 32
题目2397：  75 ÷ 25/49
题目2398：  2/3 - 70
题目2399：  34/81 - 38/97
题目2400：  1 + 15
题目2401：  28/43 × 34
题目2402：  22 + 96
题目2403：  30 ÷ 2/27
题目2404：  39/74 + 18
题目2405：  2/7 × 76
题目2406：  36 + 97
题目2407：  37/41 - 83
题目2408：  73/76 + 68
题目2409：  87 ÷ 3
题目2410：  1/11 × 11/14
题目2411：  84 - 28
题目2412：  1/9 - 97/100
题目2413：  25 × 91
题目2414：  83 + 86
题目2415：  37/85 × 58
题目2416：  2/15 + 77/93
题目2417：  36 - 67
题目2418：  30 × 61
题目2419：  97 - 68
题目2420：  11/80 × 36
题目2421：  39/47 × 58/69
题目2422：  8/71 - 64
题目2423：  27 ÷ 9/10
题目2424：  5 × 96
题目2425：  11 × 75
题目2426：  83/89 + 48
题目2427：  76/77 × 21
题目2428：  69 - 60
题目2429：  22 - 23
题目2430：  52/79 - 1/20
题目2431：  17/36 + 99/100
题目2432：  31/96 × 47
题目2433：  19/50 × 94
题目2434：  41/68 - 13
题目2435：  6/71 + 31/33
题目2436：  7 × 92
题目2437：  10 ÷ 10/11
题目2438：  18 × 55
题目2439：  90 ÷ 15/16
题目2440：  66 - 13/18
题目2441：  59 - 37
题目2442：  3/5 ÷ 1/10
题目2443：  54 ÷ 27
题目2444：  88 ÷ 1/29
题目2445：  36 ÷ 6/23
题目2446：  7/73 + 9/86
题目2447：  12 - 99
题目2448：  9 - 95/97
题目2449：  43 ÷ 43/77
题目2450：  17 ÷ 1/3
题目2451：  19/34 + 16
题目2452：  41/66 × 75
题目2453：  84 ÷ 21/68
题目2454：  3/8 + 60
题目2455：  57 + 74
题目2456：  11/76 + 29
题目2457：  12 ÷ 3/28
题目2458：  3/50 + 2/15
题目2459：  32/47 + 97/98
题目2460：  69 ÷ 23/43
题目2461：  5/92 + 1/14
题目2462：  39 + 41
题目2463：  19/25 × 74
题目2464：  52 ÷ 13/49
题目2465：  17 + 61
题目2466：  45 + 100
题目2467：  4 - 64
题目2468：  50/53 + 41
题目2469：  97/101 - 74
题目2470：  6 + 13
题目2471：  35 - 1/19
题目2472：  81 - 14/33
题目2473：  88 ÷ 1/2
题目2474：  48 ÷ 24
题目2475：  45/68 + 41/45
题目2476：  78 ÷ 1/2
题目2477：  11 × 24
题目2478：  9/14 + 76
题目2479：  68 × 72
题目2480：  15 + 95
题目2481：  92 - 17/66
题目2482：  29/49 + 40/41
题目2483：  11 ÷ 1/2
题目2484：  32 × 89
题目2485：  7 × 87
题目2486：  2/61 × 57
题目2487：  84/101 × 35
题目2488：  26/27 + 26
题目2489：  48 ÷ 3
题目2490：  85 ÷ 1/27
题目2491：  2/35 - 13/18
题目2492：  79/81 + 49
题目2493：  21/76 + 32
题目2494：  20/47 + 24/25
题目2495：  75 × 81
题目2496：  5 × 26
题目2497：  17 × 26
题目2498：  46/81 + 69
题目2499：  17/59 × 70
题目2500：  31 ÷ 1/7
题目2501：  78 × 91
题目2502：  23/37 - 23/30
题目2503：  92 ÷ 2/85
题目2504：  55/71 + 17
题目2505：  1/14 + 85/89
题目2506：  49 ÷ 7/38
题目2507：  56 ÷ 8/43
题目2508：  44 ÷ 11
题目2509：  12 - 66
题目2510：  87/98 × 8
题目2511：  37 ÷ 1/2
题目2512：  70 ÷ 7/29
题目2513：  7/26 × 19
题目2514：  76 ÷ 1/8
题目2515：  29 × 89
题目2516：  17/21 × 93/101
题目2517：  36 ÷ 3
题目2518：  85 - 5/7
题目2519：  30 ÷ 30
题目2520：  49 - 7
题目2521：  80 - 37
题目2522：  87/97 + 85/89
题目2523：  56 ÷ 4/5
题目2524：  74 + 95
题目2525：  25/57 × 12
题目2526：  84 ÷ 4/11
题目2527：  91/101 × 82/85
题目2528：  9/19 + 10/11
题目2529：  2 ÷ 1/5
题目2530：  11/84 × 14
题目2531：  41 - 39/95
题目2532：  26 ÷ 1/3
题目2533：  11 ÷ 1/20
题目2534：  12/55 × 12/31
题目2535：  24 ÷ 2/5
题目2536：  14/45 - 5/16
题目2537：  9/11 × 98/99
题目2538：  17/46 + 21/26
题目2539：  21 ÷ 3/85
题目2540：  20/33 + 60
题目2541：  2 ÷ 1/2
题目2542：  13/18 ÷ 13/36
题目2543：  5 ÷ 1/20
题目2544：  37/63 + 13/14
题目2545：  83/97 × 71
题目2546：  45 ÷ 3/91
题目2547：  31/91 + 53
题目2548：  14/15 + 45/47
题目2549：  9/14 - 27
题目2550：  23/43 × 18/19
题目2551：  12 × 23
题目2552：  94 ÷ 1
题目2553：  91 ÷ 1/15
题目2554：  25/34 × 24/25
题目2555：  1/17 + 22/39
题目2556：  38/49 + 2
题目2557：  87/94 + 20
题目2558：  48/71 + 27
题目2559：  18 - 20/61
题目2560：  14 + 49
题目2561：  49/50 - 81
题目2562：  10 + 58
题目2563：  70/81 - 21/26
题目2564：  68 - 49/72
题目2565：  76/77 × 89
题目2566：  35 + 40
题目2567：  7/10 - 81
题目2568：  20 + 40
题目2569：  68 ÷ 34
题目2570：  80 × 99
题目2571：  28 - 23/89
题目2572：  89 ÷ 1
题目2573：  64 + 74
题目2574：  48/101 - 11/14
题目2575：  84 - 88
题目2576：  52 - 71/93
题目2577：  34 × 85
题目2578：  38 - 37/81
题目2579：  35/44 × 73
题目2580：  99 ÷ 33
题目2581：  75/83 × 75
题目2582：  22 - 3/5
题目2583：  5/8 - 3/8
题目2584：  4/49 × 60/83
题目2585：  100 - 11
题目2586：  11/29 × 13/23
题目2587：  19/96 + 49/50
题目2588：  17 ÷ 1/2
题目2589：  76 - 66
题目2590：  19/32 × 86
题目2591：  24/31 - 63/85
题目2592：  96/97 × 7
题目2593：  9/40 × 16
题目2594：  4/5 + 41
题目2595：  20 × 33
题目2596：  30 - 65/88
题目2597：  27/79 + 78
题目2598：  14/87 - 42
题目2599：  9 ÷ 3/16
题目2600：  59 - 90/91
题目2601：  21/25 × 86
题目2602：  83/93 - 93/97
题目2603：  15 + 93
题目2604：  9/19 × 95
题目2605：  57 + 84
题目2606：  2 - 37/53
题目2607：  46/67 - 94
题目2608：  9/11 + 63
题目2609：  46/51 × 30
题目2610：  43 × 100
题目2611：  81 - 64
题目2612：  65/73 + 8
题目2613：  47/93 + 62/99
题目2614：  33 ÷ 3
题目2615：  15 ÷ 15/22
题目2616：  5 ÷ 5/31
题目2617：  22 ÷ 1
题目2618：  30 + 85
题目2619：  34 × 40
题目2620：  21/34 × 41
题目2621：  22 ÷ 11/101
题目2622：  84 ÷ 21/40
题目2623：  6/37 + 27/77
题目2624：  22/37 ÷ 22/37
题目2625：  29/91 × 63
题目2626：  75 ÷ 3/4
题目2627：  2/7 × 72/79
题目2628：  21/32 + 36/49
题目2629：  41/99 × 67
题目2630：  65 - 64
题目2631：  64 + 82
题目2632：  97 ÷ 1/10
题目2633：  87/92 + 23
题目2634：  20/73 × 8
题目2635：  65/86 + 36
题目2636：  13/57 + 49
题目2637：  46/49 + 58
题目2638：  65 ÷ 13
题目2639：  51/65 + 35
题目2640：  74 × 87
题目2641：  51 ÷ 17/19
题目2642：  4/7 × 8
题目2643：  91 + 92
题目2644：  14 × 80
题目2645：  23/45 × 37/47
题目2646：  65 ÷ 65
题目2647：  44 × 89
题目2648：  41/43 - 1/2
题目2649：  68 - 10/29
题目2650：  21 ÷ 3/17
题目2651：  70 × 74
题目2652：  16/29 × 25
题目2653：  86/97 - 39/46
题目2654：  21 × 41
题目2655：  60/67 - 47/84
题目2656：  36/37 - 11/26
题目2657：  19 - 90
题目2658：  7 - 39
题目2659：  2/3 - 13/16
题目2660：  2/3 - 1/20
题目2661：  4/13 + 39/97
题目2662：  6/31 + 85/92
题目2663：  14 ÷ 1/10
题目2664：  61/92 - 5/6
题目2665：  17/49 × 32
题目2666：  7/11 × 73/80
题目2667：  26/35 + 45
题目2668：  85/87 × 18
题目2669：  2 × 43
题目2670：  39 × 59
题目2671：  35/51 × 44
题目2672：  100/101 × 90
题目2673：  14/69 - 39/97
题目2674：  41/60 - 72/91
题目2675：  41/81 × 47/91
题目2676：  1/28 × 79
题目2677：  94/97 × 18
题目2678：  77/94 - 73
题目2679：  2/9 + 85
题目2680：  21/32 + 100
题目2681：  2/45 - 79
题目2682：  41/67 + 54
题目2683：  4/51 × 60
题目2684：  29/56 × 51/70
题目2685：  42 ÷ 2/3
题目2686：  25/46 + 47
题目2687：  50/73 + 11
题目2688：  57 + 70
题目2689：  31/32 - 91
题目2690：  11/28 × 28
题目2691：  80 ÷ 1
题目2692：  2/3 - 8/43
题目2693：  80 - 83
题目2694：  2/27 + 93/94
题目2695：  3/26 - 89/90
题目2696：  91 ÷ 1/5
题目2697：  13 ÷ 13
题目2698：  23/26 + 46
题目2699：  17/23 + 54
题目2700：  53/76 × 74/95
题目2701：  43 ÷ 1/3
题目2702：  11/70 × 24
题目2703：  86/89 × 42/43
题目2704：  38/47 - 27/31
题目2705：  30 ÷ 6
题目2706：  7/34 + 51
题目2707：  57 + 79
题目2708：  2 ÷ 1/61
题目2709：  11 ÷ 1
题目2710：  42 × 51
题目2711：  13/56 + 37
题目2712：  11 + 26
题目2713：  46/57 - 31/101
题目2714：  39 ÷ 1/2
题目2715：  71/81 + 80
题目2716：  61 × 78
题目2717：  20 × 76
题目2718：  34/79 + 4/7
题目2719：  13/86 + 1/2
题目2720：  65/76 × 99/100
题目2721：  49 × 98
题目2722：  54/71 + 83
题目2723：  13/14 × 85
题目2724：  14 × 79
题目2725：  99 - 7/8
题目2726：  48 - 88
题目2727：  84 ÷ 7/13
题目2728：  95 - 12
题目2729：  10/29 + 57
题目2730：  46/47 - 83/98
题目2731：  91/95 + 92
题目2732：  81 ÷ 3
题目2733：  2/3 - 14/33
题目2734：  11 - 25/39
题目2735：  63/101 × 85/91
题目2736：  1/10 + 71/86
题目2737：  10/41 + 36
题目2738：  1/53 × 26
题目2739：  81/101 × 10
题目2740：  69 ÷ 23/95
题目2741：  70/81 + 88
题目2742：  22/43 × 60
题目2743：  16/61 - 10/17
题目2744：  69/85 - 2/87
题目2745：  15 ÷ 5
题目2746：  31/95 - 31/71
题目2747：  3 - 100/101
题目2748：  67 - 8/89
题目2749：  7/15 × 36
题目2750：  11/19 × 9/10
题目2751：  5 - 33
题目2752：  3/4 + 64
题目2753：  24/25 × 94
题目2754：  8/17 + 48/89
题目2755：  93 ÷ 1/30
题目2756：  38 ÷ 1/3
题目2757：  96 ÷ 12
题目2758：  2/61 + 96
题目2759：  19/80 + 23
题目2760：  60 - 96/101
题目2761：  67 × 91
题目2762：  46 ÷ 23/34
题目2763：  43 × 57
题目2764：  41/73 + 21
题目2765：  4/7 - 13
题目2766：  78 ÷ 39/43
题目2767：  7/9 + 73
题目2768：  26/27 + 58
题目2769：  75 + 95
题目2770：  46/99 × 69/83
题目2771：  81/92 × 47
题目2772：  3/35 × 4/13
题目2773：  100/101 × 28
题目2774：  5 + 7
题目2775：  7/15 + 16
题目2776：  42/71 × 36/47
题目2777：  86 ÷ 1/3
题目2778：  38 ÷ 1/19
题目2779：  7 × 70
题目2780：  10 - 8/9
题目2781：  66 ÷ 22
题目2782：  56 ÷ 4
题目2783：  28 ÷ 1/10
题目2784：  67/91 × 34
题目2785：  24/43 - 22/25
题目2786：  19/21 - 46/93
题目2787：  47 - 48/67
题目2788：  47/85 × 49
题目2789：  34/49 × 16/21
题目2790：  8/47 + 6/13
题目2791：  23 + 83
题目2792：  46/83 - 95/98
题目2793：  75/94 + 19
题目2794：  61 + 72
题目2795：  56 ÷ 1/6
题目2796：  7/8 × 73
题目2797：  7/68 × 23/29
